"LINK";"provincia_id";"departamento_id";"clae2";"letra";"Cantidad_trabajadores";"Cantidad_trabajadores_Hombres";"Cantidad_trabajadores_Mujeres";"Remuneracion_media";"Remuneracion_media_Hombres";"Remuneracion_media_Mujeres";"Remuneracion_mediana";"Remuneracion_mediana_Hombres";"Remuneracion_mediana_Mujeres";"Poblacion_radio";"Viviendas_radio"
"063290304";6;6329;1;"A";3;3;NA;45284,2466666667;45284,2466666667;NA;48856,16;48856,16;NA;804;247
"063290304";6;6329;10;"C";33;30;3;100561,406666667;104402,896666667;62146,5066666667;82011,77;84655,51;72395,42;804;247
"063290304";6;6329;16;"C";1;NA;1;51585;NA;51585;51585;NA;51585;804;247
"063290304";6;6329;20;"C";1;1;NA;87155,04;87155,04;NA;87155,04;87155,04;NA;804;247
"063290304";6;6329;21;"C";5;5;NA;165509,806;165509,806;NA;140568,39;140568,39;NA;804;247
"063290304";6;6329;24;"C";1;1;NA;61342,08;61342,08;NA;61342,08;61342,08;NA;804;247
"063290304";6;6329;25;"C";3;3;NA;74907,9433333333;74907,9433333333;NA;83913,43;83913,43;NA;804;247
"063290304";6;6329;28;"C";1;1;NA;34700,9;34700,9;NA;34700,9;34700,9;NA;804;247
"063290304";6;6329;36;"E";2;2;NA;126338,59;126338,59;NA;126338,59;126338,59;NA;804;247
"063290304";6;6329;42;"F";2;1;1;109512,225;132040,53;86983,92;109512,225;132040,53;86983,92;804;247
"063290304";6;6329;46;"G";3;2;1;38559,0633333333;57838,595;0;51752,04;57838,595;0;804;247
"063290304";6;6329;47;"G";6;4;2;76883,8866666667;89130,5775;52390,505;52977,175;64307,675;52390,505;804;247
"063290304";6;6329;49;"H";3;3;NA;96881,2433333333;96881,2433333333;NA;102753,6;102753,6;NA;804;247
"063290304";6;6329;51;"H";1;1;NA;283427,8;283427,8;NA;283427,8;283427,8;NA;804;247
"063290304";6;6329;53;"H";2;1;1;68214,585;129355,15;7074,02;68214,585;129355,15;7074,02;804;247
"063290304";6;6329;58;"J";1;NA;1;112450,67;NA;112450,67;112450,67;NA;112450,67;804;247
"063290304";6;6329;60;"J";1;1;NA;99627,8;99627,8;NA;99627,8;99627,8;NA;804;247
"063290304";6;6329;64;"K";7;4;3;273426,482857143;225210,715;337714,173333333;269960,37;243886,855;274286,93;804;247
"063290304";6;6329;65;"K";1;NA;1;203438,58;NA;203438,58;203438,58;NA;203438,58;804;247
"063290304";6;6329;68;"L";1;1;NA;59450;59450;NA;59450;59450;NA;804;247
"063290304";6;6329;80;"N";3;3;NA;98264,4433333333;98264,4433333333;NA;75923,29;75923,29;NA;804;247
"063290304";6;6329;81;"N";1;NA;1;14692,8;NA;14692,8;14692,8;NA;14692,8;804;247
"063290304";6;6329;84;"O";45;10;35;63114,4133333333;48182,877;67380,5665714286;60441,1;29707,875;62551,92;804;247
"063290304";6;6329;85;"P";21;6;15;103464,286666667;75218,4083333333;114762,638;106745,9;64966,885;107295,17;804;247
"063290304";6;6329;86;"Q";1;NA;1;84996,22;NA;84996,22;84996,22;NA;84996,22;804;247
"063290304";6;6329;94;"S";5;4;1;75722,746;76843,1275;71241,22;71837,08;76950,34;71241,22;804;247
"063290305";6;6329;1;"A";3;3;NA;75878,77;75878,77;NA;69115,42;69115,42;NA;1092;304
"063290305";6;6329;10;"C";43;39;4;106312,602325581;104831,632820513;120752,055;91812,98;88820,02;114417,395;1092;304
"063290305";6;6329;11;"C";1;1;NA;154194,31;154194,31;NA;154194,31;154194,31;NA;1092;304
"063290305";6;6329;21;"C";1;NA;1;173231,04;NA;173231,04;173231,04;NA;173231,04;1092;304
"063290305";6;6329;24;"C";5;5;NA;69953,106;69953,106;NA;72824,74;72824,74;NA;1092;304
"063290305";6;6329;25;"C";2;2;NA;89438,15;89438,15;NA;89438,15;89438,15;NA;1092;304
"063290305";6;6329;27;"C";1;1;NA;193801,29;193801,29;NA;193801,29;193801,29;NA;1092;304
"063290305";6;6329;28;"C";1;1;NA;47905,08;47905,08;NA;47905,08;47905,08;NA;1092;304
"063290305";6;6329;35;"D";2;2;NA;116816,125;116816,125;NA;116816,125;116816,125;NA;1092;304
"063290305";6;6329;41;"F";2;2;NA;51506,3;51506,3;NA;51506,3;51506,3;NA;1092;304
"063290305";6;6329;42;"F";3;3;NA;49520,5133333333;49520,5133333333;NA;67672,14;67672,14;NA;1092;304
"063290305";6;6329;43;"F";3;3;NA;47448,4266666667;47448,4266666667;NA;44742,72;44742,72;NA;1092;304
"063290305";6;6329;46;"G";1;1;NA;171535,74;171535,74;NA;171535,74;171535,74;NA;1092;304
"063290305";6;6329;47;"G";7;5;2;92585,5871428571;114243,466;38440,89;79743,15;119782,96;38440,89;1092;304
"063290305";6;6329;49;"H";10;10;NA;159423,728;159423,728;NA;182923,185;182923,185;NA;1092;304
"063290305";6;6329;52;"H";1;NA;1;252630,43;NA;252630,43;252630,43;NA;252630,43;1092;304
"063290305";6;6329;55;"I";1;1;NA;80486,86;80486,86;NA;80486,86;80486,86;NA;1092;304
"063290305";6;6329;56;"I";1;NA;1;34027,5;NA;34027,5;34027,5;NA;34027,5;1092;304
"063290305";6;6329;62;"J";2;1;1;174958,975;3e+05;49917,95;174958,975;3e+05;49917,95;1092;304
"063290305";6;6329;64;"K";1;NA;1;187708,87;NA;187708,87;187708,87;NA;187708,87;1092;304
"063290305";6;6329;68;"L";1;1;NA;103912,91;103912,91;NA;103912,91;103912,91;NA;1092;304
"063290305";6;6329;80;"N";1;1;NA;63782;63782;NA;63782;63782;NA;1092;304
"063290305";6;6329;84;"O";38;21;17;53641,1736842105;54508,2838095238;52570,0376470588;37531,085;36638,28;37695,23;1092;304
"063290305";6;6329;85;"P";9;1;8;126665,408888889;271313,63;108584,38125;104581,68;271313,63;85495,42;1092;304
"063290305";6;6329;86;"Q";2;1;1;98688,195;118789,79;78586,6;98688,195;118789,79;78586,6;1092;304
"063290305";6;6329;94;"S";3;1;2;117552,536666667;168661,04;91998,285;117869,59;168661,04;91998,285;1092;304
"063290306";6;6329;1;"A";3;3;NA;68004,2766666667;68004,2766666667;NA;66226,73;66226,73;NA;786;217
"063290306";6;6329;10;"C";39;35;4;89854,5915384615;84899,9817142857;133207,4275;71277,46;70617,62;136189,93;786;217
"063290306";6;6329;13;"C";1;1;NA;0;0;NA;0;0;NA;786;217
"063290306";6;6329;21;"C";1;1;NA;193312,73;193312,73;NA;193312,73;193312,73;NA;786;217
"063290306";6;6329;28;"C";1;1;NA;35337,6;35337,6;NA;35337,6;35337,6;NA;786;217
"063290306";6;6329;30;"C";1;1;NA;40280,62;40280,62;NA;40280,62;40280,62;NA;786;217
"063290306";6;6329;31;"C";1;1;NA;70196,91;70196,91;NA;70196,91;70196,91;NA;786;217
"063290306";6;6329;42;"F";2;2;NA;198130,31;198130,31;NA;198130,31;198130,31;NA;786;217
"063290306";6;6329;43;"F";1;1;NA;44742,72;44742,72;NA;44742,72;44742,72;NA;786;217
"063290306";6;6329;46;"G";2;2;NA;85890,505;85890,505;NA;85890,505;85890,505;NA;786;217
"063290306";6;6329;47;"G";5;3;2;180429,72;253773,306666667;70414,34;79399,57;79399,57;70414,34;786;217
"063290306";6;6329;49;"H";3;3;NA;274019,23;274019,23;NA;205356,26;205356,26;NA;786;217
"063290306";6;6329;52;"H";1;1;NA;329630,65;329630,65;NA;329630,65;329630,65;NA;786;217
"063290306";6;6329;64;"K";5;2;3;212442,368;190675,11;226953,873333333;203860,84;190675,11;203860,84;786;217
"063290306";6;6329;65;"K";1;NA;1;108334,66;NA;108334,66;108334,66;NA;108334,66;786;217
"063290306";6;6329;69;"M";1;1;NA;73000;73000;NA;73000;73000;NA;786;217
"063290306";6;6329;70;"M";1;1;NA;59064,43;59064,43;NA;59064,43;59064,43;NA;786;217
"063290306";6;6329;80;"N";2;2;NA;75530,61;75530,61;NA;75530,61;75530,61;NA;786;217
"063290306";6;6329;81;"N";4;3;1;69094,1575;74512,1066666667;52840,31;54936,155;57032;52840,31;786;217
"063290306";6;6329;84;"O";62;23;39;67124,8172580645;67614,4973913044;66836,0315384615;52430,81;37275,64;54746,81;786;217
"063290306";6;6329;85;"P";18;4;14;123562,323333333;143628,8475;117829,030714286;128500,3;148307,385;127099,625;786;217
"063290306";6;6329;86;"Q";4;NA;4;52995,3675;NA;52995,3675;34144,165;NA;34144,165;786;217
"063290306";6;6329;94;"S";3;2;1;135276,506666667;141037,235;123755,05;123755,05;141037,235;123755,05;786;217
"063290307";6;6329;1;"A";6;6;NA;60946,845;60946,845;NA;65409,4;65409,4;NA;548;153
"063290307";6;6329;10;"C";30;27;3;86383,4336666667;82042,7707407407;125449,4;74522,65;70106,39;114953,29;548;153
"063290307";6;6329;20;"C";1;1;NA;163094,23;163094,23;NA;163094,23;163094,23;NA;548;153
"063290307";6;6329;21;"C";2;1;1;201137,355;161866;240408,71;201137,355;161866;240408,71;548;153
"063290307";6;6329;24;"C";2;2;NA;59316,83;59316,83;NA;59316,83;59316,83;NA;548;153
"063290307";6;6329;25;"C";1;1;NA;60824,81;60824,81;NA;60824,81;60824,81;NA;548;153
"063290307";6;6329;31;"C";1;1;NA;98826,26;98826,26;NA;98826,26;98826,26;NA;548;153
"063290307";6;6329;35;"D";3;1;2;158680,896666667;236088,95;119976,87;150599,64;236088,95;119976,87;548;153
"063290307";6;6329;41;"F";1;1;NA;28392,07;28392,07;NA;28392,07;28392,07;NA;548;153
"063290307";6;6329;42;"F";2;2;NA;59492,69;59492,69;NA;59492,69;59492,69;NA;548;153
"063290307";6;6329;46;"G";2;1;1;46455,435;77360,76;15550,11;46455,435;77360,76;15550,11;548;153
"063290307";6;6329;47;"G";1;NA;1;9708,21;NA;9708,21;9708,21;NA;9708,21;548;153
"063290307";6;6329;49;"H";6;6;NA;130949,328333333;130949,328333333;NA;102925,905;102925,905;NA;548;153
"063290307";6;6329;52;"H";1;1;NA;242199,62;242199,62;NA;242199,62;242199,62;NA;548;153
"063290307";6;6329;53;"H";2;2;NA;7074,02;7074,02;NA;7074,02;7074,02;NA;548;153
"063290307";6;6329;64;"K";2;1;1;353471,165;396569,11;310373,22;353471,165;396569,11;310373,22;548;153
"063290307";6;6329;65;"K";2;2;NA;78478,705;78478,705;NA;78478,705;78478,705;NA;548;153
"063290307";6;6329;68;"L";1;1;NA;56024,83;56024,83;NA;56024,83;56024,83;NA;548;153
"063290307";6;6329;69;"M";1;NA;1;36535,18;NA;36535,18;36535,18;NA;36535,18;548;153
"063290307";6;6329;80;"N";3;3;NA;78259,3833333333;78259,3833333333;NA;81131,9;81131,9;NA;548;153
"063290307";6;6329;84;"O";44;15;29;52679,4577272727;43271,656;57545,5620689655;51658,81;33346,17;56006,36;548;153
"063290307";6;6329;85;"P";10;1;9;124773,884;292591,66;106127,464444444;117482,155;292591,66;115927,55;548;153
"063290307";6;6329;86;"Q";1;1;NA;70998,37;70998,37;NA;70998,37;70998,37;NA;548;153
"063290307";6;6329;94;"S";2;2;NA;114803,98;114803,98;NA;114803,98;114803,98;NA;548;153
"063290308";6;6329;1;"A";5;4;1;63540,492;63415,96;64038,62;61649,72;58528,36;64038,62;1042;318
"063290308";6;6329;10;"C";42;36;6;94938,5090476191;97068,6127777778;82157,8866666667;87826,325;87826,325;84233,21;1042;318
"063290308";6;6329;11;"C";1;NA;1;69676,98;NA;69676,98;69676,98;NA;69676,98;1042;318
"063290308";6;6329;16;"C";2;2;NA;45569,85;45569,85;NA;45569,85;45569,85;NA;1042;318
"063290308";6;6329;20;"C";3;3;NA;136642,256666667;136642,256666667;NA;142828,19;142828,19;NA;1042;318
"063290308";6;6329;21;"C";2;2;NA;200393,74;200393,74;NA;200393,74;200393,74;NA;1042;318
"063290308";6;6329;24;"C";3;3;NA;46046,8633333333;46046,8633333333;NA;60834,05;60834,05;NA;1042;318
"063290308";6;6329;28;"C";1;1;NA;36451,84;36451,84;NA;36451,84;36451,84;NA;1042;318
"063290308";6;6329;29;"C";1;1;NA;128447,31;128447,31;NA;128447,31;128447,31;NA;1042;318
"063290308";6;6329;30;"C";1;1;NA;95313,39;95313,39;NA;95313,39;95313,39;NA;1042;318
"063290308";6;6329;35;"D";3;2;1;218602,953333333;223877,76;208053,34;208053,34;223877,76;208053,34;1042;318
"063290308";6;6329;36;"E";1;1;NA;223878,35;223878,35;NA;223878,35;223878,35;NA;1042;318
"063290308";6;6329;41;"F";3;3;NA;49555,3633333333;49555,3633333333;NA;58475,82;58475,82;NA;1042;318
"063290308";6;6329;42;"F";2;2;NA;195450,62;195450,62;NA;195450,62;195450,62;NA;1042;318
"063290308";6;6329;45;"G";1;1;NA;113072,74;113072,74;NA;113072,74;113072,74;NA;1042;318
"063290308";6;6329;46;"G";4;2;2;60312,1875;61589,275;59035,1;59503,5;61589,275;59035,1;1042;318
"063290308";6;6329;47;"G";10;8;2;87970,981;99677,9125;41143,255;95404,305;104010,255;41143,255;1042;318
"063290308";6;6329;49;"H";9;9;NA;135370,312222222;135370,312222222;NA;112905,78;112905,78;NA;1042;318
"063290308";6;6329;56;"I";1;1;NA;36491,42;36491,42;NA;36491,42;36491,42;NA;1042;318
"063290308";6;6329;60;"J";1;1;NA;41329,55;41329,55;NA;41329,55;41329,55;NA;1042;318
"063290308";6;6329;62;"J";1;1;NA;157720,37;157720,37;NA;157720,37;157720,37;NA;1042;318
"063290308";6;6329;64;"K";1;1;NA;238436,81;238436,81;NA;238436,81;238436,81;NA;1042;318
"063290308";6;6329;65;"K";1;NA;1;176100,18;NA;176100,18;176100,18;NA;176100,18;1042;318
"063290308";6;6329;68;"L";2;2;NA;62807,9;62807,9;NA;62807,9;62807,9;NA;1042;318
"063290308";6;6329;79;"N";1;NA;1;29117,2;NA;29117,2;29117,2;NA;29117,2;1042;318
"063290308";6;6329;80;"N";1;1;NA;96927,55;96927,55;NA;96927,55;96927,55;NA;1042;318
"063290308";6;6329;84;"O";69;24;45;70593,6610144928;75539,0883333333;67956,0997777778;56885,01;43553,625;60008,9;1042;318
"063290308";6;6329;85;"P";25;4;21;121719,5088;124430,0575;121203,213809524;120490,53;117610,645;120490,53;1042;318
"063290308";6;6329;86;"Q";2;1;1;169765,93;232571,36;106960,5;169765,93;232571,36;106960,5;1042;318
"063290308";6;6329;92;"R";1;NA;1;39012,52;NA;39012,52;39012,52;NA;39012,52;1042;318
"063290308";6;6329;94;"S";2;1;1;173542,675;227593,08;119492,27;173542,675;227593,08;119492,27;1042;318
"063290309";6;6329;1;"A";5;5;NA;60373,634;60373,634;NA;59966,6;59966,6;NA;782;251
"063290309";6;6329;6;"B";1;NA;1;377744,36;NA;377744,36;377744,36;NA;377744,36;782;251
"063290309";6;6329;10;"C";25;22;3;100551,9844;101638,780454545;92582,1466666667;88413,65;89988,835;84173,87;782;251
"063290309";6;6329;11;"C";1;1;NA;126009,24;126009,24;NA;126009,24;126009,24;NA;782;251
"063290309";6;6329;12;"C";1;1;NA;190792,83;190792,83;NA;190792,83;190792,83;NA;782;251
"063290309";6;6329;20;"C";1;1;NA;139065,41;139065,41;NA;139065,41;139065,41;NA;782;251
"063290309";6;6329;21;"C";2;1;1;149465,885;142694,11;156237,66;149465,885;142694,11;156237,66;782;251
"063290309";6;6329;22;"C";1;1;NA;80857,19;80857,19;NA;80857,19;80857,19;NA;782;251
"063290309";6;6329;24;"C";2;2;NA;74426,07;74426,07;NA;74426,07;74426,07;NA;782;251
"063290309";6;6329;28;"C";1;1;NA;18368,68;18368,68;NA;18368,68;18368,68;NA;782;251
"063290309";6;6329;30;"C";2;2;NA;91515,5;91515,5;NA;91515,5;91515,5;NA;782;251
"063290309";6;6329;41;"F";1;1;NA;19806;19806;NA;19806;19806;NA;782;251
"063290309";6;6329;42;"F";2;2;NA;94566,625;94566,625;NA;94566,625;94566,625;NA;782;251
"063290309";6;6329;46;"G";1;1;NA;381399,7;381399,7;NA;381399,7;381399,7;NA;782;251
"063290309";6;6329;47;"G";4;1;3;92848,8625;157124,28;71423,7233333333;87044,37;157124,28;78334,64;782;251
"063290309";6;6329;49;"H";3;3;NA;108596,17;108596,17;NA;101981,22;101981,22;NA;782;251
"063290309";6;6329;62;"J";1;NA;1;93767,45;NA;93767,45;93767,45;NA;93767,45;782;251
"063290309";6;6329;64;"K";3;1;2;305380,04;338089,15;289025,485;318312,03;338089,15;289025,485;782;251
"063290309";6;6329;65;"K";1;NA;1;137687,7;NA;137687,7;137687,7;NA;137687,7;782;251
"063290309";6;6329;79;"N";1;1;NA;28757,69;28757,69;NA;28757,69;28757,69;NA;782;251
"063290309";6;6329;81;"N";3;2;1;64003,07;83706,985;24595,24;65898,08;83706,985;24595,24;782;251
"063290309";6;6329;84;"O";49;15;34;68671,9663265306;52139,7886666667;75965,5741176471;48572,27;35184,38;60220,07;782;251
"063290309";6;6329;85;"P";18;3;15;136745,103333333;242339,183333333;115626,287333333;135940,77;289818,29;129681,1;782;251
"063290309";6;6329;86;"Q";2;NA;2;116374,525;NA;116374,525;116374,525;NA;116374,525;782;251
"063290309";6;6329;94;"S";2;1;1;157411,175;155021,35;159801;157411,175;155021,35;159801;782;251
"063290310";6;6329;1;"A";12;11;1;75535,5808333333;80500,35;20923,12;57508,325;57548,17;20923,12;953;307
"063290310";6;6329;10;"C";54;47;7;96666,7859259259;94281,6968085106;112680,955714286;85723,905;84845,73;88261,15;953;307
"063290310";6;6329;14;"C";1;NA;1;57847,64;NA;57847,64;57847,64;NA;57847,64;953;307
"063290310";6;6329;20;"C";4;4;NA;224398,4;224398,4;NA;169076,25;169076,25;NA;953;307
"063290310";6;6329;21;"C";2;2;NA;190407,01;190407,01;NA;190407,01;190407,01;NA;953;307
"063290310";6;6329;22;"C";1;NA;1;35000;NA;35000;35000;NA;35000;953;307
"063290310";6;6329;24;"C";1;1;NA;60974,21;60974,21;NA;60974,21;60974,21;NA;953;307
"063290310";6;6329;25;"C";2;2;NA;65215,235;65215,235;NA;65215,235;65215,235;NA;953;307
"063290310";6;6329;27;"C";2;2;NA;79292,88;79292,88;NA;79292,88;79292,88;NA;953;307
"063290310";6;6329;28;"C";2;2;NA;34512,19;34512,19;NA;34512,19;34512,19;NA;953;307
"063290310";6;6329;30;"C";1;1;NA;95656,69;95656,69;NA;95656,69;95656,69;NA;953;307
"063290310";6;6329;35;"D";1;1;NA;158028,22;158028,22;NA;158028,22;158028,22;NA;953;307
"063290310";6;6329;41;"F";2;2;NA;60062,31;60062,31;NA;60062,31;60062,31;NA;953;307
"063290310";6;6329;42;"F";2;2;NA;89726,245;89726,245;NA;89726,245;89726,245;NA;953;307
"063290310";6;6329;43;"F";2;2;NA;50136,42;50136,42;NA;50136,42;50136,42;NA;953;307
"063290310";6;6329;45;"G";1;1;NA;87336,1;87336,1;NA;87336,1;87336,1;NA;953;307
"063290310";6;6329;46;"G";3;2;1;226689,066666667;297141,935;85783,33;85783,33;297141,935;85783,33;953;307
"063290310";6;6329;47;"G";8;5;3;80841,0425;95735,658;56016,6833333333;94935,41;100961,98;40587,27;953;307
"063290310";6;6329;49;"H";6;6;NA;153930,728333333;153930,728333333;NA;171717,68;171717,68;NA;953;307
"063290310";6;6329;53;"H";1;NA;1;7074,02;NA;7074,02;7074,02;NA;7074,02;953;307
"063290310";6;6329;56;"I";2;NA;2;14003,485;NA;14003,485;14003,485;NA;14003,485;953;307
"063290310";6;6329;60;"J";1;1;NA;37622,23;37622,23;NA;37622,23;37622,23;NA;953;307
"063290310";6;6329;62;"J";1;NA;1;42825,82;NA;42825,82;42825,82;NA;42825,82;953;307
"063290310";6;6329;64;"K";1;NA;1;184544,86;NA;184544,86;184544,86;NA;184544,86;953;307
"063290310";6;6329;65;"K";1;1;NA;173821,35;173821,35;NA;173821,35;173821,35;NA;953;307
